id1,rel,id2
政府性基金预算收入规模明显回落,derivedFrom,政府性基金预算收入
城投债融资规模持续大幅增长,derivedFrom,债券净融资规模
盘活资产资源一次性补缴收入,derivedFrom,上级补助收入
交通投资同比大幅下降,derivedFrom,交通运输投资
固定资产投资增速下滑,derivedFrom,固定资产投资增速
土地出让单价增加，土地出让面积增加,derivedFrom,土地出让面积
税收收入/一般公共预算收入有所下滑,derivedFrom,税收收入
行政区划调整，留抵退税及数字经济承压影响,derivedFrom,留抵退税
土地出让总价低位,derivedFrom,土地出让总价
城投债券余额超过一般预算收入13倍,derivedFrom,债券余额
房地产宏观调控政策等因素,derivedFrom,房地产宏观调控政策
信用关联度高,derivedFrom,信贷规模
政府性基金预算收入有所下降,derivedFrom,政府性基金预算收入
税收收入有所下滑,derivedFrom,税收收入
政府性基金收入大幅增长,derivedFrom,政府性基金收入
区域平台存在互保,derivedFrom,存续发债城投平台
集中供地,derivedFrom,土地出让收入
一般公共预算收入持续增长,derivedFrom,一般公共预算收入
综合财力减少,derivedFrom,综合财力
特许经营权收入增加,derivedFrom,非税收入
宏观环境影响,derivedFrom,宏观环境影响
存续债券到期相对较多,derivedFrom,存续债券到期规模
一般预算收入持续下滑,derivedFrom,一般公共预算收入
宏观因素,derivedFrom,综合财力
净融资减少,derivedFrom,净融资
增值税收入下滑，留抵退税收入下滑，土地出让收入下滑,derivedFrom,留抵退税
全市房地产开发投资转为负增长 ,derivedFrom,房地产开发投资增速
政府性基金收入同比下降较多,derivedFrom,政府性基金收入
土地出让收入减少,derivedFrom,土地出让收入
综合财力有所提升,derivedFrom,综合财力
固定资产投资增速进一步提升,derivedFrom,固定资产投资增速
土地出让面积大幅增加,derivedFrom,土地出让面积
耕地占用税下降,derivedFrom,耕地占用税
城投债发行规模集中发行 ,derivedFrom,债券发行量
政府债务负担加重,derivedFrom,地方政府债务
快速推升广义政府债务规模,derivedFrom,广义债务
房地产市场转冷，土地市场行情走弱,derivedFrom,房地产投资
政府债务叠加隐性债务存在系统性风险,derivedFrom,地方政府债务
国内增值税、土地增值税下降明显,derivedFrom,国内增值税
上海市新冠肺炎疫情反弹,derivedFrom,规模以上高新技术产业增加值
专项债的增多 ,derivedFrom,专项债务余额
外部环境变化及房地产市场持续低迷,derivedFrom,房地产投资
税收收入同比下滑,derivedFrom,税收收入
政府性基金收入持续下降,derivedFrom,政府性基金收入
推升广义债务负担,derivedFrom,广义债务
内部结构性矛盾等因素,derivedFrom,内部结构性矛盾等因素
商品房销售面积及销售金额均出现大幅回落,derivedFrom,商品房销售面积和商品房销售额
政府债务率偏高,derivedFrom,债务率
原油价格上涨，经营效益有所下降,derivedFrom,经营效益
一般公共预算自给率下降,derivedFrom,一般公共预算自给率
社会消费品零售总额有所下滑,derivedFrom,社会消费品零售总额
房地产开发投资及商品房销售均呈下降趋势,derivedFrom,房地产开发投资增速
土地成交总面积下降,derivedFrom,涉宅用地成交总价
一般公共预算收入减少,derivedFrom,一般公共预算收入
地产项目集中交付后确认收入,derivedFrom,地产项目集中交付后确认收入
GDP总量上涨,derivedFrom,GDP
住宅销售面积下降,derivedFrom,住宅销售面积
土地成交总价明显缩减,derivedFrom,土地成交总价
商品房销售规模持续下滑,derivedFrom,商品房销售额
商品房销售面积下降显著,derivedFrom,商品房销售面积
税收收入减少,derivedFrom,税收收入
一般公共预算收入减收,derivedFrom,一般公共预算收入
国有土地使用权出让,derivedFrom,土地出让收入
对外部融资依赖度增加,derivedFrom,净融资
房地产开发投资下降,derivedFrom,房地产开发投资增速
税收收入占比维持较高水平,derivedFrom,税收收入
第三产业增加值有所下降,derivedFrom,第三产业增加值
税收收入下降,derivedFrom,税收收入
房地产严调控政策，房企拿地意愿下降,derivedFrom,房地产投资
出让总价下降,derivedFrom,土地出让总价
债券市场认可度较低,derivedFrom,债券市场认可度
政府性基金预算自给率下降,derivedFrom,政府性基金预算收入
政府性基金预算收入增长,derivedFrom,政府性基金预算收入
存续债券到期期限分布较分散,derivedFrom,都不相关
政府性基金收入小幅下降,derivedFrom,政府性基金收入
土地出让热度有所下降,derivedFrom,土地出让总价
留抵退税影响,derivedFrom,留抵退税
2021年以来市场认可度分化加剧，对实力弱且出现过非标风险、票据逾期等负面舆情较多省份整体认可度较差,derivedFrom,非标逾期
住宅用地价量齐跌,derivedFrom,住宅用地成交均价
政府性基金预算收入减少,derivedFrom,政府性基金预算收入
土地市场成交总额的增长,derivedFrom,土地市场成交总额的增长
土地出让收入大幅下滑，新增专项债券对应支出大幅增加,derivedFrom,土地出让收入
工业投资拉动,derivedFrom,工业投资
地方财政自给率下降,derivedFrom,财政自给率
未纳入地方政府的隐性债务规模较大,derivedFrom,地方政府债务
一般公共预算收入规模下滑,derivedFrom,一般公共预算收入
一般公共预算收入有所波动,derivedFrom,一般公共预算收入
留抵退税因素,derivedFrom,留抵退税
政府性基金收入增长,derivedFrom,政府性基金收入
住宅用地集中供地制度，地产企业融资政策收紧,derivedFrom,住宅用地出让总价
契税下降,derivedFrom,契税
房地产开发投资增速大幅下跌,derivedFrom,房地产开发投资增速
持续面临较大的再融资需求,derivedFrom,净融资
当地房地产市场景气度,derivedFrom,房地产投资
存续债券到期规模较大,derivedFrom,存续债券到期规模
财政收入保持稳定,derivedFrom,税收收入
综合财力明显下降,derivedFrom,综合财力
房地产开发投资同比下降 ,derivedFrom,房地产开发投资增速
第二产业增加值负增长,derivedFrom,第二产业增加值
疫情常态化,derivedFrom,都不相关
增速有所放缓,derivedFrom,固定资产投资增速
综合财力有所下滑,derivedFrom,综合财力
土地出让金大幅减少,derivedFrom,土地出让收入
土地市场成交面积下降,derivedFrom,涉宅用地成交面积
财政自给率维持较高水平,derivedFrom,财政自给率
政府性基金预算收入快速增长,derivedFrom,政府性基金预算收入
综合用地（含住宅）出让价格下降,derivedFrom,综合用地（含住宅）出让总价
税收收入减收,derivedFrom,税收收入
GDP增速相对较低,derivedFrom,GDP
G20 峰会、亚运会等利好因素,derivedFrom,GDP
一般公共预算收入增长,derivedFrom,一般公共预算收入
留抵退税及房地产行情遇冷,derivedFrom,留抵退税
房地产行业政策收紧，房企信用风险频发,derivedFrom,房地产投资
全球经济恢复及海外需求增长,derivedFrom,经济总量
地方政府综合财力情况较好 ,derivedFrom,综合财力
政府性基金收入大幅减少,derivedFrom,政府性基金收入
债券集中兑付压力不大,derivedFrom,债券集中兑付压力不大
一般公共预算收入下降，政府性基金收入下降,derivedFrom,一般公共预算收入
一般公共预算收入大幅下降,derivedFrom,一般公共预算收入
政府性基金支出下降,derivedFrom,政府性基金收入
政府专项债务的增长,derivedFrom,地方政府债务
发债城投数量快速增长,derivedFrom,存续发债城投平台
税收收入占比下降,derivedFrom,税收收入
土地出让行情降温,derivedFrom,土地出让总价
财政自给率显著下降,derivedFrom,财政自给率
经济扰动因素加大，房地产市场风险抬升，留抵退税力度加大,derivedFrom,留抵退税
增值税，留抵退税，化工企业经营效益下降,derivedFrom,留抵退税
GDP增长,derivedFrom,GDP
房地产开发投资下降趋势,derivedFrom,房地产开发投资增速
一般公共预算收入小幅回落,derivedFrom,一般公共预算收入
全市房地产开发投资转为负增长,derivedFrom,房地产开发投资增速
房地产投资同比下降,derivedFrom,房地产投资
增值税、土地增值税下降明显,derivedFrom,土地增值税
房地产开发投入增速收窄,derivedFrom,房地产开发投资增速
政府性基金收入大幅下降,derivedFrom,政府性基金收入
经济增长,derivedFrom,经济总量
国际经济政治形势不利，外贸环境趋于严峻,derivedFrom,财政支出
政府债务余额上涨,derivedFrom,地方政府债务
土地出让收入下降,derivedFrom,土地出让收入
第二产业增长,derivedFrom,第二产业增加值
秀洲区固定资产投资有所恢复,derivedFrom,固定资产投资
宿迁市社会消费品零售总额规模呈波动趋势,derivedFrom,社会消费品零售总额
政策性减收,derivedFrom,政府性基金收入
国有资源（资产）有偿使用收入增加较多,derivedFrom,国有资源（资产）有偿使用收入
房地产市场环境,derivedFrom,房地产投资
土地出让收入大幅下滑及新增专项债券对应支出大幅增加,derivedFrom,土地出让收入
广义债务率有所提高,derivedFrom,债务率
一般预算收入下降,derivedFrom,一般公共预算收入
得益于高新技术产业投资快速增长,derivedFrom,高新技术产业投资
土地出让收入增加,derivedFrom,土地出让收入
政府性基金收入同比下降,derivedFrom,政府性基金收入
受季节性及其他超预期因素,derivedFrom,都不相关
契税显著下滑,derivedFrom,契税
区域信用关联度较高,derivedFrom,信贷规模
城投债券净融资规模大幅下滑,derivedFrom,债券净融资规模
房地产开发投资持续下降,derivedFrom,房地产开发投资增速
出口总额同比增长,derivedFrom,出口总额
房地产调控政策,derivedFrom,房地产调控政策
受涉宅用地量价齐跌影响,derivedFrom,涉宅用地成交总价
土地出让市场下行,derivedFrom,土地出让总价
综合财力增长,derivedFrom,综合财力
土地出让均价亦大幅下降,derivedFrom,土地成交均价
土地出让金规模较上年大幅下降,derivedFrom,土地出让收入
受地产政策收紧、行情低迷等房地产开发商拿地意愿以及居民购房意愿双双下降,derivedFrom,房地产投资
固定资产投资,derivedFrom,固定资产投资
对经济增长起到一定的拉动作用,derivedFrom,经济总量
净融资大幅下降,derivedFrom,净融资
政府债务余额每年上升,derivedFrom,地方政府债务
税收比率下降,derivedFrom,税收收入
地住宅用地成交面积同比大幅下降,derivedFrom,涉宅用地成交面积
跟踪期内房地产开发投资,derivedFrom,房地产开发投资增速
房地产开发投资较上年下降,derivedFrom,房地产开发投资增速
工业用地加大供应,derivedFrom,工业用地出让面积
土地出让收入大幅减少,derivedFrom,土地出让收入
上级补助收入大幅增长,derivedFrom,上级补助收入
高新技术产业投资、生态环保城市更新及水利设施投资,derivedFrom,高新技术产业投资
住宅销售额下降,derivedFrom,住宅销售额
经济下行,derivedFrom,经济总量
住宅用地成交均价下跌,derivedFrom,住宅用地成交均价
房地产行业持续严调控以及房价趋稳等,derivedFrom,房地产投资
城投游戏债务大幅增大,derivedFrom,城投有息债务
房地产市场因素,derivedFrom,房地产投资
增值税留抵退税，企业所得税，个人所得税，土地增值税均有所下降,derivedFrom,增值税留抵退税
社会保障支出大幅增加，就业支出大幅增加，及卫生健康支出大幅增加,derivedFrom,都不相关
发债城投数量增加 ,derivedFrom,债券发行量
土地成交价格下降,derivedFrom,土地成交均价
房地产市场转冷等因素,derivedFrom,房地产投资
净融资呈下降趋势,derivedFrom,净融资
商品房销售呈下降趋势,derivedFrom,商品房销售额
减税降费,derivedFrom,税收收入
住宅用地出让面积大幅下降，综合用地（含住宅）出让均价大幅下降,derivedFrom,综合用地（含住宅）出让均价
商品房销售额同比下降,derivedFrom,商品房销售额
增值税下降,derivedFrom,增值税
涉宅用地成交均价大幅下滑,derivedFrom,涉宅用地成交均价
高新技术产业增长，制造业投资增长,derivedFrom,高新技术产业增加值
财政收入承压,derivedFrom,财政收入
减税降费及企业投资进项税抵扣，并叠加经济性减收等因素,derivedFrom,工业投资
增值税留抵退税因素,derivedFrom,增值税留抵退税
留抵退税下降,derivedFrom,留抵退税
政府性基金收入同比下滑,derivedFrom,政府性基金收入
城投现金短债比均较大幅度下降,derivedFrom,城投现金短债比
房地产行业政策收紧，房企信用风险事件频发,derivedFrom,房地产投资
2023年以来城投债券净融资规模(354.88亿元),derivedFrom,债券净融资规模
留、抵、退税等因素影响,derivedFrom,留抵退税
房地产市场低迷,derivedFrom,房地产投资
经济总量保持增长,derivedFrom,GDP
政府性基金收入主要来源于国有土地使用权出让收入，国有土地使用权出让收入下降,derivedFrom,国有土地使用权出让收入
土地出让金减少,derivedFrom,土地出让收入
土地出让总面积下降,derivedFrom,土地出让面积
科研经费支出增长，医疗经费支出增长,derivedFrom,科研经费支出
固定资产投资同比增长,derivedFrom,固定资产投资增速
实现进出口总额,derivedFrom,进出口总额
大规模减税降费，政策调控,derivedFrom,债券兑付规模
平台间存在较大规模担保，平台间互保较多,derivedFrom,平台发债规模
存续债券票面利率标准化程度较高、估值偏高,derivedFrom,估值偏高
土地出让总价有所回落,derivedFrom,土地出让总价
商品房销售面积大幅下降,derivedFrom,商品房销售面积
发债城投数量增加，政府债务率上升,derivedFrom,地方政府债务
留抵退税，房地产市场交易量波动，非税收入增长,derivedFrom,留抵退税
增值税留抵退税，土地出让收入下滑,derivedFrom,增值税留抵退税
住宅用地出让量下跌，综合用地（含住宅）出让量下跌,derivedFrom,住宅用地出让面积
经济下行压力加大、外部环境等因素,derivedFrom,经济总量
一般公共预算支出增长及政府性基金支出增长,derivedFrom,一般公共预算支出
发债城投逐年增多,derivedFrom,存续发债城投平台
留抵退税等减收因素,derivedFrom,留抵退税
GDP 增长,derivedFrom,GDP
政府债务负担上升,derivedFrom,地方政府债务
综合用地（含住宅）出让总价下降,derivedFrom,综合用地（含住宅）出让总价
土地使用权出让收入总体大幅增加,derivedFrom,土地出让收入
财政自给率,derivedFrom,财政自给率
存续发债城投之间完全并表,derivedFrom,存续发债城投平台
净融资由负转正且规模不断增加,derivedFrom,净融资
秀洲区经济增速放缓,derivedFrom,经济总量
平台债务规模较高,derivedFrom,平台债务规模
房地产政策调控，房企信用风险事件,derivedFrom,房地产政策调控
国有资产有偿使用收入大幅增长，税收收入下降,derivedFrom,国有资源（资产）有偿使用收入
国家政策支持，区位交通优势，良好的工业基础,derivedFrom,工业基础
政府性基金预算收入显著下滑,derivedFrom,政府性基金预算收入
地区生产总值同比下降,derivedFrom,GDP
区域平台间互保现象明显,derivedFrom,城投平台
规模以上工业增加值较上年增长，固定资产投资增长,derivedFrom,固定资产投资增速
综合用地（含住宅）出让单价大幅下跌，住宅用地出让单价大幅下跌,derivedFrom,综合用地（含住宅）出让总价
规模以上工业增加值同比下降,derivedFrom,规模以上工业增加值
土地成交总价下降,derivedFrom,土地成交总价
政府性基金预算收入下降,derivedFrom,政府性基金预算收入
一般公共预算支出增长,derivedFrom,一般公共预算支出
固定资产投资已有所恢复,derivedFrom,固定资产投资
区域内城投债发行规模快速增长,derivedFrom,平台发债规模
政府性基金预算收入处于较大规模,derivedFrom,政府性基金预算收入
房地产投资增速均有所下滑,derivedFrom,房地产投资
国有土地使用权出让收入大幅增长,derivedFrom,土地出让收入
土地市场下滑,derivedFrom,土地出让总价
房地产市场景气度下降,derivedFrom,房地产投资
房地产监管政策持续加码，行业龙头风险频发,derivedFrom,房地产投资
财政自给能力有所减弱,derivedFrom,财政自给率
第三产业增加值较快增长,derivedFrom,第三产业增加值
下辖区划的调整，国企整合 ,derivedFrom,国企整合
主体信用关联度较高,derivedFrom,信贷规模
存续债券到期规模,derivedFrom,存续债券到期规模
财政刚性支出规模较大,derivedFrom,财政刚性支出
一般公共预算收入下滑,derivedFrom,一般公共预算收入
行政区划调整,derivedFrom,行政区划调整
综合财力持续提升,derivedFrom,综合财力
嘉兴市固定资产投资规模继续扩张,derivedFrom,固定资产投资
留抵退税政策,derivedFrom,留抵退税
综合用地（含住宅）成交金额大幅下降,derivedFrom,综合用地（含住宅）出让总价
国有土地使用权出让金收入减少,derivedFrom,土地出让收入
住宅用地成交量大幅下滑,derivedFrom,住宅用地成交量
政府性基金断崖式下滑，税收减少,derivedFrom,政府性基金收入
经济大环境不佳及房地产市场波动，土地成交规模萎缩,derivedFrom,土地成交规模
批发零售业增值税下降较快,derivedFrom,增值税
税收收入占比较高,derivedFrom,税收收入
受整体市场环境影响，桐乡市楼市持续降温,derivedFrom,城市维护建设税
税收收入下滑,derivedFrom,税收收入
广义债务压力大,derivedFrom,广义债务
广义债务负担显著加重,derivedFrom,广义债务
较上年下降,derivedFrom,规上工业企业总产值
土地成交均价下跌,derivedFrom,土地成交均价
土地成交金额大幅下滑,derivedFrom,土地成交金额
工业经济下行,derivedFrom,工业增加值
一般预算收入增长,derivedFrom,一般公共预算收入
商品房销售面积及销售额均有所下降,derivedFrom,商品房销售面积和商品房销售额
嘉兴市经济增速有所放缓,derivedFrom,经济总量
杭州市房地产市场需求端转向疲软,derivedFrom,房地产投资
房地产投资同比下降 ,derivedFrom,房地产投资
政府性基金下滑,derivedFrom,政府性基金收入
卫生健康支出大幅增长及镇（街道）财政体制结算转列一般公共预算支出,derivedFrom,卫生健康支出
商品房销售面积和销售额双降,derivedFrom,商品房销售面积和销售额
受外部不可抗因素影响,derivedFrom,受外部不可抗因素影响
社会消费品零售总额显著增长,derivedFrom,社会消费品零售总额
受此影响,derivedFrom,增值税留抵退税
土地成交总价有所下降,derivedFrom,土地成交总价
固定资产投资同比下降,derivedFrom,固定资产投资
政府广义债务率将有所增长,derivedFrom,政府广义债务率
存在债券融资过度,derivedFrom,债券净融资规模
增值税、契税、土地增值税较上年减收明显,derivedFrom,增值税
一般公共预算收入，土地出让收入增长,derivedFrom,土地出让收入
土地成交总面积增长,derivedFrom,涉宅用地成交面积
区域发债平台互保,derivedFrom,城投平台
广义债务负担加重,derivedFrom,广义债务
一般公共预算收入大幅回落,derivedFrom,一般公共预算收入
第三产业增加值保持增长,derivedFrom,第三产业增加值
房地产政策调控，房企拿地意愿下降因素,derivedFrom,房地产投资
税收收入/一般公共预算收入下降,derivedFrom,税收收入
商品房销售面积,derivedFrom,商品房销售面积
国有资源（资产）有偿使用收入,derivedFrom,国有资源（资产）有偿使用收入
减税降费政策因素，房地产市场下行因素,derivedFrom,房地产投资
税收收入有所下降,derivedFrom,税收收入
房地产开发投资下呈下降趋势,derivedFrom,房地产开发投资增速
财政自给能力有所下降,derivedFrom,财政自给率
宏观经济影响,derivedFrom,经济总量
财源基础较好,derivedFrom,综合财力
房地产市场交易量下降,derivedFrom,房地产交易量
税收收入大幅下降,derivedFrom,税收收入
商品房销售面积呈下降趋势,derivedFrom,商品房销售面积
昆山市经济发展产生一定阶段性负面影响,derivedFrom,经济总量
一般公共预算收入下降，一般公共预算支出增长,derivedFrom,一般公共预算收入
外贸扶持力度的持续加强,derivedFrom,综合财力
第一产业增长,derivedFrom,第一产业增加值
留抵退税,derivedFrom,留抵退税
增值税下滑,derivedFrom,增值税
房地产市场持续低迷,derivedFrom,房地产投资
财政自给程度下滑,derivedFrom,财政自给率
第三产业增加值增速有所放缓,derivedFrom,第三产业增加值
政府性基金收入减少,derivedFrom,政府性基金收入
一般公共预算收入下降,derivedFrom,一般公共预算收入
房地产市场调控等因素,derivedFrom,房地产市场调控等因素
区域政府债务负担增长显著,derivedFrom,地方政府债务
区域债务负担重,derivedFrom,债务率
政府性基金收入下降,derivedFrom,政府性基金收入
净融资下降呈净偿还,derivedFrom,净融资
土地使用权出让收入,derivedFrom,土地出让收入
发行量缩减，到期规模增加,derivedFrom,债券发行量
近年贵阳市城投债券净融资持续为负,derivedFrom,净融资
国有土地出让收入下降,derivedFrom,土地出让收入
房地产政策调控,derivedFrom,房地产政策调控
非税收入增收,derivedFrom,非税收入
土地出让价格维持市场高位,derivedFrom,土地出让总价
商品房销售面积下降,derivedFrom,商品房销售面积
区域债务负担持续加重,derivedFrom,债务率
税收比率下滑,derivedFrom,税收收入
土地出让总价有所下降,derivedFrom,土地出让总价
土地出让总价较上年有所下降,derivedFrom,土地出让总价
政府性基金预算收入下降，政府性基金预算支出下降,derivedFrom,政府性基金预算收入
房地产政策调控、出让面积缩减,derivedFrom,出让面积缩减
房地产行情低迷,derivedFrom,房地产投资
砂石等国有资产有偿使用收入大幅增长及税收收入下降,derivedFrom,国有资源（资产）有偿使用收入
一般公共预算收入自然口径下降,derivedFrom,一般公共预算收入
社会保障支出显著增长，就业支出显著增长,derivedFrom,社会保障和就业支出
政府性基金收入下滑,derivedFrom,政府性基金收入
经济增速放缓,derivedFrom,经济总量
货物进出口总额持续增长,derivedFrom,进出口总额
嵊州市楼市持续疲软，供应量逐步萎缩，销售跌幅进一步扩大,derivedFrom,商品房销售面积
存续债券近三年行权规模相对较大。,derivedFrom,存续债券到期规模
进出口贸易需求增长,derivedFrom,进出口总额
土地出让面积有所回落,derivedFrom,土地出让面积
社会保障，就业支出显著增长,derivedFrom,就业支出
房地产市场景气度下滑较大,derivedFrom,房地产投资
GDP增速有所下滑,derivedFrom,GDP
节能环保支出增长，城乡社区支出增长，交通运输支出增长,derivedFrom,城乡社区支出
上级补助收入大幅增加,derivedFrom,上级补助收入
综合财力下滑,derivedFrom,综合财力
进出口总额较上年增长,derivedFrom,进出口总额
全市商品房销售量显著下跌,derivedFrom,商品房销售量
增值税留抵退税及房地产销售下滑,derivedFrom,增值税留抵退税
房地产市场景气度呈下行态势,derivedFrom,房地产投资
非税收入增加,derivedFrom,非税收入
受严峻复杂的国内外环境等因素影响,derivedFrom,综合财力
税收收入自然口径下降,derivedFrom,税收收入
商品房销售额下降,derivedFrom,商品房销售额
广义债务率较高,derivedFrom,债务率
国有土地使用权出让收入占政府性基金预算收入的比重下降,derivedFrom,土地出让收入
增值税显著下滑,derivedFrom,增值税
财政收入有所下降,derivedFrom,税收收入
区域城投短期偿债压力上升,derivedFrom,城投有息债务
税收收入,derivedFrom,税收收入
土地成交均价下降,derivedFrom,土地成交均价
土地出让收入,derivedFrom,土地出让收入
区域基建规划、招商引资进度,derivedFrom,基础设施投资
综合财力下降,derivedFrom,综合财力
受到房地产市场转冷等因素影响,derivedFrom,房地产投资
留底退税,derivedFrom,留抵退税
土地出让收入显著下降,derivedFrom,土地出让收入
商品房销售下降,derivedFrom,商品房销售额
地方政府综合财力情况较好,derivedFrom,综合财力
房地产市场走弱,derivedFrom,房地产投资
固定资产投资增速,derivedFrom,固定资产投资增速
固定资产投资持续负增长,derivedFrom,固定资产投资
住宿、餐饮及文化等产业增加值下降,derivedFrom,第三产业增加值
房企资金链趋紧，房地产市场热度下滑,derivedFrom,房地产投资
城投债券余额较上年增多,derivedFrom,债券余额
企业所得税大幅增长,derivedFrom,企业所得税
内部结构性矛盾,derivedFrom,内部结构性矛盾
存续城投债券行权及到期规模相对较大,derivedFrom,存续债券到期规模
增值税税收增加，所得税税收增加,derivedFrom,增值税
一般公共预算收入增速大幅放缓,derivedFrom,一般公共预算收入
房地产市场表现低迷,derivedFrom,房地产投资
增值税，留抵退税,derivedFrom,留抵退税
平台间互保较多,derivedFrom,平台间互保较多
再融资需求增加,derivedFrom,净融资
存续债券行权规模相对较大,derivedFrom,存续债券到期规模
收支平衡能力下降,derivedFrom,财政支出
教育支出增加，科技支出增加，社保和就业支出增加，城乡社区支出增加,derivedFrom,都相关
商品房施工面积增速放缓,derivedFrom,房屋施工面积
留抵退税，房地产销售下滑,derivedFrom,房地产销售下滑
土地出让均价下降,derivedFrom,土地成交均价
房地产开发投资增速下降,derivedFrom,房地产开发投资增速
经济增速呈现下滑,derivedFrom,经济总量
增值税留底退税,derivedFrom,增值税留抵退税
非税增长,derivedFrom,非税收入
财政自给率下滑,derivedFrom,财政自给率
房地产行业下行,derivedFrom,房地产投资
城投债发行和净融资达到峰值后出现明显收缩，整体债券融资规模不大 ,derivedFrom,净融资
商品房销售额持续走高,derivedFrom,商品房销售额
财政收支平衡对上级补助收入有一定依赖,derivedFrom,上级补助收入
一般公共预算收入下降 ,derivedFrom,一般公共预算收入
财政自给能力较强,derivedFrom,财政自给率
宏观经济,derivedFrom,经济总量
涉宅用地成交均价下降,derivedFrom,涉宅用地成交均价
税收比率较上年下降,derivedFrom,税收收入
全国房地产严调控政策，房企拿地意愿下降,derivedFrom,房地产投资
政府性基金收入大幅下滑,derivedFrom,政府性基金收入
税收收入增长，转移性收入增长,derivedFrom,税收收入
新兴市场货物出口增长较快,derivedFrom,出口总额
土地出让面积下降,derivedFrom,土地出让面积
城投债净融资规模逐年扩大,derivedFrom,债券净融资规模
政府性基金收入下降，转移性收入下降,derivedFrom,政府性基金收入
区内发债城投数量多、有息债务规模大,derivedFrom,有息债务
对区域可支配财力形成较强支撑,derivedFrom,综合财力
一般公共预算收入同比下降,derivedFrom,一般公共预算收入
固定资产投资有所增长,derivedFrom,固定资产投资
受益于第二、三产业投资大幅增长,derivedFrom,第二产业投资
国有土地使用权出让收入减少,derivedFrom,土地出让收入
政府债务负担增长显著,derivedFrom,地方政府债务
房地产市场波动,derivedFrom,房地产投资
土地出让收入同比减少,derivedFrom,土地出让收入
住宅用地集中供地制度，限制拿地宗数、提高保证金比例等政策致使土拍门槛提升，叠加地产企业融资政策收紧，拿地意愿下滑,derivedFrom,住宅用地出让总价
综合财力明显下滑,derivedFrom,综合财力
政府债务余额及区域发债城投数量快速增长,derivedFrom,地方政府债务
较上年下降 ,derivedFrom,规上工业企业总产值
一般公共预算支出上升,derivedFrom,一般公共预算支出
房地产成交量出现一定程度的下滑,derivedFrom,房地产投资
政府性基金自给率下降,derivedFrom,财政自给率
债务负担加重,derivedFrom,债务率
土地出让总价下降,derivedFrom,土地出让总价
第二产业投资、第三产业投资大幅增长,derivedFrom,第二产业投资
一般公共预算支出规模继续扩大,derivedFrom,一般公共预算支出
土地出让收入大幅下滑,derivedFrom,土地出让收入
发债城投有息债务规模持续增长,derivedFrom,有息债务
平台互保密切,derivedFrom,一级平台
房地产市场较低迷,derivedFrom,房地产投资
房地产行业融资政策收紧,derivedFrom,房地产投资
出口增长强劲,derivedFrom,出口总额
落实大规模增值税留抵退税等中央新出台的组合式税费支持政策,derivedFrom,增值税留抵退税
拉动GDP增长,derivedFrom,GDP
政府性基金收入及转移性收入减少,derivedFrom,政府性基金收入
房产市场景气度欠佳，留抵退税政策,derivedFrom,留抵退税
债券发行量缩减同时到期规模增加,derivedFrom,债券发行量
行业环境影响,derivedFrom,工业增加值
工业用地出让带动,derivedFrom,工业用地出让面积
大规模减税降费政策,derivedFrom,债券兑付规模
社会消费品零售总额呈现负增长,derivedFrom,社会消费品零售总额
