id1,rel,id2
非税收入增加,causeOf,国有资源（资产）有偿使用收入增加较多
经济增速呈现下滑,causeOf,新冠肺炎疫情反弹
政府性基金收入大幅下降,causeOf,土地成交均价下降
政府性基金预算收入大幅下降,causeOf,土地出让面积下降, 土地出让总价有所下降
税收收入,causeOf,上级补助收入大幅增长
综合财力下滑,causeOf,土地出让收入显著下降
GDP 增长,causeOf,第一产业增长
综合财力下滑,causeOf,政府性基金收入大幅下降
净融资由负转正且规模不断增加,causeOf,融资环境有所改善
财政自给能力较强,causeOf,财政自给率维持较高水平
综合财力持续提升,causeOf,一般公共预算收入，土地出让收入增长
出口增长强劲,causeOf,全球经济恢复及海外需求增长
固定资产投资同比增长,causeOf,高新技术产业投资、生态环保城市更新及水利设施投资
土地出让总价有所下降,causeOf,综合用地（含住宅）及商业出让单价，办公用地出让单价下滑
政府性基金收入大幅下降,causeOf,土地使用权出让收入
土地成交总价有所下降,causeOf,涉宅用地成交均价大幅下滑
土地成交总面积下降,causeOf,房地产行业政策收紧，房企信用风险事件频发
对区域可支配财力形成较强支撑,causeOf,政府性基金预算收入处于较大规模
信用关联度高,causeOf,平台互保密切
政府广义债务率将有所增长,causeOf,发债城投数量增加 
土地成交均价下降,causeOf,综合用地（含住宅）出让价格下降
税收收入下降,causeOf,增值税下滑
城投债券净融资规模大幅下滑,causeOf,存续城投债券行权及到期规模相对较大
广义债务负担加重,causeOf,发债城投有息债务规模持续增长
广义债务负担加重,causeOf,城投债净融资规模逐年扩大
对外部融资依赖度增加,causeOf,区域内城投债发行规模快速增长
商品房销售面积和销售额双降,causeOf,房地产宏观调控政策等因素
广义债务率较高,causeOf,城投债券余额较上年增多
社会消费品零售总额显著增长,causeOf,疫情常态化
土地出让总价有所下降,causeOf,住宅用地出让量下跌，综合用地（含住宅）出让量下跌
土地出让面积下降,causeOf,房地产政策调控
税收收入下降,causeOf,国内增值税、土地增值税下降明显
一般公共预算收入下降 ,causeOf,落实大规模增值税留抵退税等中央新出台的组合式税费支持政策
经济增速呈现下滑,causeOf,受国内外严竣环境影响
商品房销售面积下降显著,causeOf,房地产政策调控
综合财力下滑,causeOf,一般公共预算收入降幅大，政府性基金收入降幅大
综合财力下滑,causeOf,政府性基金收入下降，转移性收入下降
一般公共预算支出增长,causeOf,社会保障支出大幅增加，就业支出大幅增加，及卫生健康支出大幅增加
信用关联度高,causeOf,区域平台间互保现象明显
房地产开发投资下降,causeOf,房地产市场波动
政府性基金收入增长,causeOf,土地出让单价增加，土地出让面积增加
土地出让面积下降,causeOf,房地产行业融资政策收紧
经济增速呈现下滑,causeOf,第二产业增加值负增长
房地产市场景气度下降,causeOf,宏观环境影响
政府性基金预算收入大幅下降,causeOf,土地成交金额大幅下滑
区域平台信用关联度较高,causeOf,平台间存在较大规模担保，平台间互保较多
广义债务率较高,causeOf,平台债务规模较高
政府性基金收入大幅下降,causeOf,国有土地使用权出让
土地出让收入显著下降,causeOf,住宅用地价量齐跌
GDP 增长,causeOf,固定资产投资有所增长
土地出让收入显著下降,causeOf,住宅用地出让面积大幅下降，综合用地（含住宅）出让均价大幅下降
广义债务负担加重,causeOf,新增发债城投平台
政府性基金收入增长,causeOf,国有土地使用权出让收入大幅增长
政府性基金预算收入增长,causeOf,国有土地使用权出让收入大幅增长
政府性基金收入增长,causeOf,土地出让收入增加
秀洲区固定资产投资有所恢复,causeOf,第二产业投资、第三产业投资大幅增长
一般公共预算支出增长,causeOf,卫生健康支出大幅增长及镇（街道）财政体制结算转列一般公共预算支出
政府债务负担增长显著,causeOf,政府性基金收入大幅下降
房地产开发投资下降,causeOf,房地产开发投资下降
土地成交均价下降,causeOf,综合用地（含住宅）出让单价大幅下跌，住宅用地出让单价大幅下跌
商品房销售面积及销售金额均出现大幅回落,causeOf,房地产市场调控等因素
跟踪期内房地产开发投资,causeOf,房地产政策调控
一般公共预算收入下降 ,causeOf,增值税留底退税
房地产市场景气度下降,causeOf,行业环境影响
增速有所放缓,causeOf,区域基建规划、招商引资进度
区域信用关联度较高,causeOf,平台间互保较多
土地出让收入显著下降,causeOf,住宅用地集中供地制度，地产企业融资政策收紧
耕地占用税下降,causeOf,房地产市场交易量下降
政府债务叠加隐性债务存在系统性风险,causeOf,未纳入地方政府的隐性债务规模较大
地方政府债务率在绍兴市各区县中处于相对较好水平,causeOf,地方政府综合财力情况较好 
政府性基金预算收入大幅下降,causeOf,房地产市场及土地市场行情影响
土地出让面积大幅增加,causeOf,工业用地出让带动
房地产开发投资下降,causeOf,房地产市场景气度下降
房地产开发投资下降,causeOf,房地产政策调控，房企信用风险事件
税收收入下降,causeOf,增值税、土地增值税下降明显
房地产开发投资下降,causeOf,房地产宏观调控政策等因素
土地出让收入显著下降,causeOf,住宅用地集中供地制度，限制拿地宗数、提高保证金比例等政策致使土拍门槛提升，叠加地产企业融资政策收紧，拿地意愿下滑
税收收入下降,causeOf,大规模减税降费，政策调控
经济增速呈现下滑,causeOf,受国内外环境影响
社会消费品零售总额呈现负增长,causeOf,受国内外严竣环境影响
政府性基金收入大幅增长,causeOf,国有土地使用权出让收入大幅增长
固定资产投资同比增长,causeOf,高新技术产业增长，制造业投资增长
一般公共预算收入下降 ,causeOf,增值税留抵退税
GDP 增长,causeOf,规模以上工业增加值较上年增长，固定资产投资增长
土地市场成交面积下降,causeOf,房地产市场景气度下降
一般公共预算支出增长,causeOf,科研经费支出增长，医疗经费支出增长
商品房销售额下降,causeOf,受整体市场环境影响，桐乡市楼市持续降温
政府性基金收入大幅下降,causeOf,行政区划调整
财源基础较好,causeOf,税收收入占比较高
一般公共预算支出增长,causeOf,财政刚性支出规模较大
房地产市场景气度下降,causeOf,当地房地产市场景气度
对经济增长起到一定的拉动作用,causeOf,第三产业增加值较快增长
财政自给率显著下降,causeOf,社会保障支出显著增长，就业支出显著增长
一般公共预算收入下降 ,causeOf,重点行业、重点税源企业纳税大幅下降
债券集中兑付压力不大,causeOf,净融资大幅下降
财政自给率显著下降,causeOf,社会保障，就业支出显著增长
商品房销售面积下降显著,causeOf,房地产行业政策收紧，房企信用风险频发
净融资大幅下降,causeOf,债务压降，康旅事件 
GDP 增长,causeOf,第二产业增长
商品房销售面积下降显著,causeOf,房地产行业持续严调控以及房价趋稳等
区域平台信用关联度较高,causeOf,区域平台存在互保
商品房销售面积下降显著,causeOf,宏观经济影响，市场影响
GDP增速有所下滑,causeOf,内部结构性矛盾等因素
一般公共预算收入下降 ,causeOf,减税降费及企业投资进项税抵扣，并叠加经济性减收等因素
一般公共预算支出增长,causeOf,教育支出增加，科技支出增加，社保和就业支出增加，城乡社区支出增加
政府性基金自给率较上年下降,causeOf,政府性基金预算收入大幅下降
商品房销售额下降,causeOf,房地产政策调控
政府性基金预算收入大幅下降,causeOf,土地出让总价有所下降
受此影响,causeOf,2021年以来市场认可度分化加剧，对实力弱且出现过非标风险、票据逾期等负面舆情较多省份整体认可度较差
政府性基金收入大幅下降,causeOf,政府性基金收入主要来源于国有土地使用权出让收入，国有土地使用权出让收入下降
存续债券票面利率标准化程度较高、估值偏高,causeOf,市区县级园区平台普遍信用质量不高、市场认可度较差
房地产市场景气度下降,causeOf,房地产监管政策持续加码，行业龙头风险频发
土地出让价格维持市场高位,causeOf,集中供地
政府性基金支出下降,causeOf,政府性基金收入大幅下降
商品房销售额下降,causeOf,房地产行业政策收紧，房企信用风险频发
商品房销售额持续走高,causeOf,G20 峰会、亚运会等利好因素
一般公共预算收入下降 ,causeOf,留抵退税政策
一般公共预算收入增速大幅放缓,causeOf,宏观经济影响
GDP增速有所下滑,causeOf,内部结构性矛盾
土地成交均价下降,causeOf,涉宅用地成交均价大幅下滑
住宅销售额下降,causeOf,房地产行业政策收紧，房企信用风险频发
城投债净融资规模逐年扩大,causeOf,城投债发行规模集中发行 
持续面临较大的再融资需求,causeOf,存续债券到期规模较大
广义债务率较高,causeOf,政府债务负担增长显著
收支平衡能力下降,causeOf,房地产调控政策
政府性基金预算自给率下降,causeOf,土地出让收入显著下降
土地出让总价有所下降,causeOf,房地产政策调控
税收收入下降,causeOf,留抵退税，房地产销售下滑
政府性基金收入大幅下降,causeOf,土地出让总价有所下降
存续债券近三年行权规模相对较大。,causeOf,2021年以来市场认可度分化加剧，对实力弱且出现过非标风险、票据逾期等负面舆情较多省份整体认可度较差
土地出让总价有所下降,causeOf,房地产行业融资政策收紧
GDP 增长,causeOf,第三产业增加值较快增长
广义债务负担加重,causeOf,政府债务负担增长显著
税收收入下降,causeOf,减税降费及企业投资进项税抵扣，并叠加经济性减收等因素
非税收入增加,causeOf,国有资源（资产）有偿使用收入
区域城投短期偿债压力上升,causeOf,城投现金短债比均较大幅度下降
一般预算收入增长,causeOf,非税收入增加
固定资产投资增速进一步提升,causeOf,工业投资拉动
